title,info,beds,bedrooms,price,ratings
Apartment in Karachi,Zaha Home: Stylish & Luxury 2br Family place,2 beds,2 bedrooms,$86 per night,4.83 (54)
Condo in Karachi,"Zaha Home: Elegant,Spacious 2br apt, Shahre Faisal",2 beds,2 bedrooms,$103 per night,4.93 (14)
Vacation home in Karachi,Zaha homes-Suite 3MZ: 2br Family apt with pool,2 beds,2 bedrooms,$83 per night,5.0 (5)
Apartment in Karachi City,"Zaha Home: Bright, modern, 3br family-friendly apt",4 beds,3 bedrooms,$102 per night,4.93 (56)
Apartment in Karachi,"Zaha Home: Shahvar Manzil-3br apt,Bukhari Comm,DHA",3 beds,3 bedrooms,$91 per night,5.0 (16)
Vacation home in Karachi,"Zaha Home:Najaf Mahal Apt-2br, spacious & cheerful",2 beds,2 bedrooms,$80 per night,4.89 (9)
Home in Karachi,GORGEOUS 5 BEDROOM 7 BATH SPACIOUS OCEAN VILLA,5 beds,5 bedrooms,$228 per night,4.75 (4)
Condo in Karachi,Cozy 2-BR APT Near Seaview,2 beds,2 bedrooms,$44 per night,4.48 (21)
Condo in Karachi,"Safe, secure & serene condo in posh Clifton area.",3 beds,3 bedrooms,$94 per night,4.88 (8)
Apartment in Karachi,Furnished ground floor 2B Flat Clifton City Centre,2 beds,2 bedrooms,$34 per night,4.56 (25)
Condo in Karachi,Brand new 2bed DD luxury Appartment fotile kitchen,4 beds,2 bedrooms,$106 per night,4.9 (10)
Home in Karachi,2 BEDROOMS LUXE SUITE W/ KITCHEN / LOUNGE / DINING,2 beds,2 bedrooms,$137 per night,4.86 (7)
Apartment in Karachi,Syed's Place | Two Bedroom Luxurious Apartment,2 beds,2 bedrooms,$57 per night,4.87 (31)
Bungalow in Karachi,Gold FF/Fabulous & hygiene with 24/7security guard,4 beds,4 bedrooms,$111 per night,5.0 (5)
Condo in Karachi,Sunset 3 bed condo located in heart of karachi,3 beds,3 bedrooms,$74 per night,New
Home in Karachi,Converge Rooftop Guesthouse (Sunkissed),2 beds,2 bedrooms,$47 per night,4.94 (16)
Apartment in Karachi,Entire Apartment Near Continental Bakery - Secure,3 beds,3 bedrooms,$65 per night,4.63 (8)
Guest suite in Karachi,Ground View Home,2 beds,2 bedrooms,$45 per night,4.67 (12)
Home in Karachi,"Hygiene clean, ACs, Power backup, Gated Society",3 beds,3 bedrooms,$73 per night,4.75 (8)
Apartment in Karachi,"Fully furnished Flat for Family, tourist, vacation",2 beds,5 bedrooms,$32 per night,New
