date,home_team,score,away_team
14-08-2022,Almeria,1 - 2,Real Madrid
22-08-2022,Elche,1 - 1,Almeria
27-08-2022,Almeria,2 - 1,Sevilla
05-09-2022,Valladolid,1 - 0,Almeria
12-09-2022,Almeria,0 - 1,Osasuna
17-09-2022,Mallorca,1 - 0,Almeria
30-09-2022,Ath Bilbao,4 - 0,Almeria
08-10-2022,Almeria,3 - 1,Vallecano
16-10-2022,Betis,? - ?,Almeria
15-08-2022,Ath Bilbao,0 - 0,Mallorca
21-08-2022,Ath Bilbao,1 - 0,Valencia
29-08-2022,Cadiz,0 - 4,Ath Bilbao
04-09-2022,Ath Bilbao,0 - 1,Espanol
11-09-2022,Elche,1 - 4,Ath Bilbao
17-09-2022,Ath Bilbao,3 - 2,Vallecano
30-09-2022,Ath Bilbao,4 - 0,Almeria
08-10-2022,Sevilla,1 - 1,Ath Bilbao
15-10-2022,Ath Bilbao,? - ?,Ath Madrid
15-08-2022,Getafe,0 - 3,Ath Madrid
21-08-2022,Ath Madrid,0 - 2,Villarreal
29-08-2022,Valencia,0 - 1,Ath Madrid
03-09-2022,Sociedad,1 - 1,Ath Madrid
10-09-2022,Ath Madrid,4 - 1,Celta
18-09-2022,Ath Madrid,1 - 2,Real Madrid
01-10-2022,Sevilla,0 - 2,Ath Madrid
08-10-2022,Ath Madrid,2 - 1,Girona
15-10-2022,Ath Bilbao,? - ?,Ath Madrid
13-08-2022,Barcelona,0 - 0,Vallecano
21-08-2022,Sociedad,1 - 4,Barcelona
28-08-2022,Barcelona,4 - 0,Valladolid
03-09-2022,Sevilla,0 - 3,Barcelona
10-09-2022,Cadiz,0 - 4,Barcelona
17-09-2022,Barcelona,3 - 0,Elche
01-10-2022,Mallorca,0 - 1,Barcelona
09-10-2022,Barcelona,1 - 0,Celta
16-10-2022,Real Madrid,? - ?,Barcelona
15-08-2022,Betis,3 - 0,Elche
20-08-2022,Mallorca,1 - 2,Betis
26-08-2022,Betis,1 - 0,Osasuna
03-09-2022,Real Madrid,2 - 1,Betis
11-09-2022,Betis,1 - 0,Villarreal
18-09-2022,Betis,2 - 1,Girona
02-10-2022,Celta,1 - 0,Betis
09-10-2022,Valladolid,0 - 0,Betis
16-10-2022,Betis,? - ?,Almeria
14-08-2022,Cadiz,0 - 1,Sociedad
20-08-2022,Osasuna,2 - 0,Cadiz
29-08-2022,Cadiz,0 - 4,Ath Bilbao
02-09-2022,Celta,3 - 0,Cadiz
10-09-2022,Cadiz,0 - 4,Barcelona
16-09-2022,Valladolid,0 - 1,Cadiz
01-10-2022,Cadiz,0 - 0,Villarreal
09-10-2022,Cadiz,2 - 2,Espanol
15-10-2022,Girona,? - ?,Cadiz
13-08-2022,Celta,2 - 2,Espanol
20-08-2022,Celta,1 - 4,Real Madrid
26-08-2022,Girona,0 - 1,Celta
02-09-2022,Celta,3 - 0,Cadiz
10-09-2022,Ath Madrid,4 - 1,Celta
17-09-2022,Valencia,3 - 0,Celta
02-10-2022,Celta,1 - 0,Betis
09-10-2022,Barcelona,1 - 0,Celta
16-10-2022,Celta,? - ?,Sociedad
15-08-2022,Betis,3 - 0,Elche
22-08-2022,Elche,1 - 1,Almeria
27-08-2022,Elche,0 - 1,Sociedad
04-09-2022,Villarreal,4 - 0,Elche
11-09-2022,Elche,1 - 4,Ath Bilbao
17-09-2022,Barcelona,3 - 0,Elche
03-10-2022,Vallecano,2 - 1,Elche
10-10-2022,Elche,1 - 1,Mallorca
15-10-2022,Valencia,? - ?,Elche
13-08-2022,Celta,2 - 2,Espanol
19-08-2022,Espanol,0 - 2,Vallecano
28-08-2022,Espanol,1 - 3,Real Madrid
04-09-2022,Ath Bilbao,0 - 1,Espanol
10-09-2022,Espanol,2 - 3,Sevilla
18-09-2022,Sociedad,2 - 1,Espanol
02-10-2022,Espanol,2 - 2,Valencia
09-10-2022,Cadiz,2 - 2,Espanol
16-10-2022,Espanol,? - ?,Valladolid
15-08-2022,Getafe,0 - 3,Ath Madrid
22-08-2022,Girona,3 - 1,Getafe
28-08-2022,Getafe,0 - 0,Villarreal
04-09-2022,Valencia,5 - 1,Getafe
11-09-2022,Getafe,2 - 1,Sociedad
